feature_type,n_train,n_val,n_test,seed,pos_metric,neg_metric,overall_metric,best_epoch
ecfp4096,500,500,1000,0,0.5081894609964255,0.5566915571593295,0.5550909857470542,83
ecfp4096,500,500,1000,1,0.4980324399471283,0.5596311032600128,0.5580911363642663,78
ecfp4096,500,500,1000,2,0.3852083155994906,0.5202298311427584,0.5179344657491892,4
ecfp4096,500,500,1000,3,0.4944920907728374,0.5484584547677424,0.546731530486606,46
ecfp4096,500,500,1000,4,0.4377474331042983,0.5566507089237448,0.5540348371053114,60
ecfp4096,1000,500,1000,0,0.4656604878378637,0.5675254668793646,0.5641639225244289,3
ecfp4096,1000,500,1000,1,0.4854754145656313,0.5761003839091726,0.5748316345283528,3
ecfp4096,1000,500,1000,2,0.5279430577961298,0.5563108905962453,0.5555733259264379,3
ecfp4096,1000,500,1000,3,0.48731621186579427,0.560653901540975,0.5583804352537263,3
ecfp4096,1000,500,1000,4,0.4696477579751185,0.5716257489357266,0.568770364170894,3
ecfp4096,2000,500,1000,0,0.5943612390094333,0.5868462120039357,0.5870491155613563,2
ecfp4096,2000,500,1000,1,0.5018474161624908,0.5902159920837855,0.5878300390511285,2
ecfp4096,2000,500,1000,2,0.49863119423389435,0.5856737560813567,0.5841069903294556,2
ecfp4096,2000,500,1000,3,0.44655784538814,0.6009920236448385,0.59774890494399,2
ecfp4096,2000,500,1000,4,0.4918507397440927,0.5820448534551685,0.5795194191299379,2
ecfp4096,5000,500,1000,0,0.6587483726049724,0.6546456494656269,0.6547236031610518,29
ecfp4096,5000,500,1000,1,0.6172769803267258,0.6570207786381062,0.6559874395690858,27
ecfp4096,5000,500,1000,2,0.6530526785386933,0.6504175702834032,0.6504650012759957,31
ecfp4096,5000,500,1000,3,0.6929596016804377,0.6448057085054821,0.6462503236886114,45
ecfp4096,5000,500,1000,4,0.6155117311411433,0.6530462917543298,0.6516950480230153,28
ecfp4096,7000,500,1000,0,0.62390836672141,0.6346640421548051,0.6343843917623162,35
ecfp4096,7000,500,1000,1,0.69301875716164,0.6421001591775338,0.6431694501226303,27
ecfp4096,7000,500,1000,2,0.6716262820092115,0.6540851065155037,0.6544710111693712,23
ecfp4096,7000,500,1000,3,0.6117433582743009,0.6591276030903529,0.6579903816655278,23
ecfp4096,7000,500,1000,4,0.6411969195241514,0.6572662171857201,0.6568966233022511,18